Betreiber;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;Steckertypen2;Steckertypen3;Steckertypen4;P1 [kW];P2 [kW];P3 [kW];P4 [kW];Nennleistung Ladeeinrichtung [kW];Kreis/kreisfreie Stadt;Ort;Postleitzahl;Straße;Hausnummer;Adresszusatz;Inbetriebnahmedatum;koordinaten;Anzeigename (Karte);Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Karlstr.;45;;;48.500374, 10.117366;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Keplerstraße;16;;;48.50509, 10.128139;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Sonnenstraße;4;;;48.500211, 10.121083;;;;;;;
LAN1 Hotspots GmbH;Normalladeeinrichtung;3.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;11.0;11.0;11.0;;33.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Magirusstraße;16;;;48.500943, 10.082036;LAN1 Hotspots GmbH;;;;;;
Solarcollect;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Schuko;;;11.0;3.7;;;11.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Eichlesstrasse;18;;;48.505686, 10.138781;;;;;;;
Irmgard Stängle;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;3.0;;;;3.0;Landkreis Alb-Donau-Kreis;Nerenstetten;89129;Ortsstr.;8;;;48.518588, 10.120255;;;;;;;
Joachim Stader;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;11.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Kuftenstraße;54;;;48.498206, 10.124507;;;;;;;
Johannes Stängle;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Alb-Donau-Kreis;Nerenstetten;89129;Ortsstr.;7;;;48.518329, 10.119319;;;;;;;
autohaus Langenau GmbH;Normalladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Alb-Donau-Kreis;Langenau;89129;Kiesgräble;1;;;48.493378, 10.108723;;;;;;;
Markus Härle;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;4.0;;;;4.0;Landkreis Alb-Donau-Kreis;Blaustein;89134;Oberer Wiesenweg;7;;;48.414713, 9.874603;;;;;;;
Autohaus Burger GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Blaubeuren;89143;Ehinger Str.;21;;;48.403661, 9.774677;;;;;;;
Mattheis Gastronomie & Event GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Blaubeuren;89143;Dorfstrasse;56;;;48.439328, 9.817808;;;;;;;
Citywatt GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Machtolsheim;89150;Treffensbucher Weg;13;;;48.491529, 9.750237;Citywatt GmbH;;;;;;
Häberle Feinmechanik CNC-Technik GmbH;Schnellladeeinrichtung;1.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;;100.0;;;;100.0;Landkreis Alb-Donau-Kreis;Laichingen;89150;Wilhelm-Maybach-Straße;9;;;48.493246, 9.710927;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Erbach-Bach;89155;Hauptstraße;15;;;48.330122, 9.853781;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Donaurieden Erbach;89155;Kirchenberg;1;;;48.31389, 9.86102;;;;;;;
